date,open,high,low,close,volume,daily_return,log_return,intraday_return,overnight_gap
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,0.0,,,-0.005267357598284637,
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,0.0,0.011469256580333154,0.011403983273826851,0.011592998937300283,-0.00012232425204314635
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,0.0,0.04094626156931791,0.040130166368883106,0.040019800594747544,0.0008908108999853715
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,0.0,0.0032118728998469237,0.003206725854243906,0.0026821772113833874,0.0005282787512357028
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,0.0,0.018957147097464544,0.018779699477461064,0.017799388989692053,0.0011375111051321499
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,0.0,0.01956577078199495,0.019376821734244425,0.019650061479941975,-8.26663000683738e-05
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,0.0,0.0013482628604715163,0.0013473547702389675,-5.0616508079808394e-05,0.0013989501785242981
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,0.0,0.0003340660905122306,0.0003340103028599783,0.0005873100871669433,-0.00025309535120193104
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,0.0,0.012154600685659434,0.012081326673459293,0.011704049828849166,0.00044533859174172657
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,0.0,0.004159601200102392,0.004150973974634251,0.004983518572267615,-0.0008198317255348679
2007-10-01,5021.5,5089.2998046875,5001.35009765625,5068.9501953125,0.0,0.00947954170303067,0.009434892793267542,0.009449406614059543,2.9852995874549348e-05
2007-10-03,5069.0,5261.35009765625,5034.14990234375,5210.7998046875,0.0,0.027984021130484704,0.027599623264781208,0.027973920830045376,9.825444240122298e-06
2007-10-04,5211.64990234375,5233.10009765625,5126.0498046875,5208.64990234375,0.0,-0.000412585864806414,-0.0004126710017726776,-0.000575633447413814,0.00016314149230704935
2007-10-05,5208.14990234375,5248.5498046875,5164.5,5185.85009765625,0.0,-0.004377296442450662,-0.0043869048540190105,-0.004281713296590164,-9.599416535463704e-05
2007-10-08,5186.25,5249.2998046875,5024.75,5085.10009765625,0.0,-0.019427865847015946,-0.01961906730830142,-0.019503475988189925,7.711413485143665e-05
2007-10-09,5062.64990234375,5348.7001953125,5000.9501953125,5327.25,0.0,0.0476194957215017,0.0465204433689621,0.0522651383682987,-0.0044148974221466
2007-10-10,5328.14990234375,5454.7001953125,5328.14990234375,5441.4501953125,0.0,0.021436988185743022,0.021210447798499184,0.021264471729466806,0.00016892436881130039
2007-10-11,5438.89990234375,5532.75,5424.25,5524.85009765625,0.0,0.015326778588471646,0.015210510027427977,0.015802863971712742,-0.0004686789141150152
2007-10-12,5525.2998046875,5549.2998046875,5402.60009765625,5428.25,0.0,-0.017484654958734525,-0.017639316998074937,-0.017564622394818437,8.139714622135622e-05
2007-10-15,5428.35009765625,5682.64990234375,5419.89990234375,5670.39990234375,0.0,0.04460920229240539,0.04364284637471603,0.04458993991415691,1.844013379081656e-05
2007-10-16,5670.64990234375,5708.35009765625,5578.4501953125,5668.0498046875,0.0,-0.0004144500734910572,-0.0004145359816600169,-0.00045851845926431597,4.408860121076599e-05
2007-10-17,5658.89990234375,5658.89990234375,5107.2998046875,5559.2998046875,0.0,-0.019186493370270563,-0.019372942861435854,-0.017600611315813974,-0.0016142946267308721
2007-10-18,5551.10009765625,5736.7998046875,5269.64990234375,5351.0,0.0,-0.03746871224895365,-0.038188706594196986,-0.03604692657960446,-0.0014749531990226822
2007-10-19,5360.35009765625,5390.85009765625,5101.75,5215.2998046875,0.0,-0.02535978234208558,-0.02568688361466625,-0.027059854361410375,0.0017473551964586058
2007-10-22,5202.75,5247.39990234375,5070.89990234375,5184.0,0.0,-0.006001535071745612,-0.0060196166645277525,-0.00360386334150209,-0.002406343864684493
2007-10-23,5185.2998046875,5488.5,5176.85009765625,5473.7001953125,0.0,0.05588352533034335,0.054377881218170526,0.0556188458696808,0.00025073392891589505
2007-10-24,5477.60009765625,5577.89990234375,5419.39990234375,5496.14990234375,0.0,0.004101376807315038,0.004092989087768165,0.003386483926681152,0.0007124800783005526
2007-10-25,5499.0498046875,5605.9501953125,5469.2998046875,5568.9501953125,0.0,0.013245689120980009,0.013158732010425611,0.012711357981412626,0.0005276243179818258
2007-10-26,5564.25,5716.89990234375,5513.35009765625,5702.2998046875,0.0,0.023945196975768024,0.02366300660679429,0.024810136979377274,-0.0008440002419946674
2007-10-29,5708.89990234375,5922.5,5708.89990234375,5905.89990234375,0.0,0.035704909357604064,0.03508226673625369,0.03450752393103319,0.0011574448700197204
2007-10-30,5917.5498046875,5976.0,5833.89990234375,5868.75,0.0,-0.006290303418282961,-0.006310170734949751,-0.008246623399577296,0.0019725871647649747
2007-10-31,5868.89990234375,5952.25,5861.2998046875,5900.64990234375,0.0,0.005435553115015868,0.0054208338104667474,0.005409872468146988,2.5542465388711394e-05
2007-11-01,5903.7998046875,6011.9501953125,5837.2001953125,5866.4501953125,0.0,-0.005795922075916726,-0.005812783615952213,-0.006326367866563692,0.0005338229510106763
2007-11-02,5854.85009765625,5944.75,5714.25,5932.39990234375,0.0,0.011241842142279967,0.011179122255211763,0.013245395423282296,-0.001977362334980511
2007-11-05,5931.89990234375,5948.5498046875,5819.60009765625,5847.2998046875,0.0,-0.014344969836343813,-0.014448853585763768,-0.014261888947725449,-8.428292229633101e-05
2007-11-06,5847.10009765625,5957.2001953125,5759.9501953125,5786.5,0.0,-0.010397928397439027,-0.010452364532403112,-0.0103641286525163,-3.415371845478223e-05
2007-11-07,5782.39990234375,5861.35009765625,5744.2998046875,5782.35009765625,0.0,-0.000717169678346119,-0.0007174269675405823,-8.613151691534327e-06,-0.000708562629612028
2007-11-08,5779.2998046875,5780.7998046875,5646.75,5698.75,0.0,-0.014457806297501041,-0.014563338792940719,-0.013937640788624136,-0.0005275178633660334
2007-11-12,5660.60009765625,5660.60009765625,5477.5,5617.10009765625,0.0,-0.014327686307304188,-0.014431318670424688,-0.0076846976026465836,-0.006694433400965124
2007-11-13,5612.35009765625,5758.85009765625,5591.60009765625,5695.39990234375,0.0,0.013939542348581302,0.01384328046108066,0.014797687821039903,-0.0008456320730303436
2007-11-14,5703.9501953125,5950.2001953125,5700.0498046875,5937.89990234375,0.0,0.0425782217505406,0.041696704730231245,0.04101538390421249,0.0015012629693011397
2007-11-15,5942.7001953125,5966.9501953125,5895.64990234375,5912.10009765625,0.0,-0.004344937623033451,-0.004354404295861196,-0.005149190881341588,0.0008084159463272991
2007-11-16,5913.14990234375,5948.0498046875,5817.39990234375,5906.85009765625,0.0,-0.0008880093221157459,-0.0008884038359657705,-0.0010653889706065112,0.0001775688283620531
2007-11-19,5908.0498046875,5981.7998046875,5893.7998046875,5907.64990234375,0.0,0.00013540290921176812,0.00013539374306526254,-6.768770693718829e-05,0.0002031043638175321
2007-11-20,5911.25,5923.7001953125,5755.7998046875,5780.89990234375,0.0,-0.02145523213041356,-0.02168874166514924,-0.022051190130048637,0.0006093959045917275
2007-11-21,5778.7998046875,5790.0498046875,5530.85009765625,5561.0498046875,0.0,-0.0380304280250755,-0.03877245878036436,-0.037680834664556316,-0.00036328213456845315
2007-11-22,5564.64990234375,5608.64990234375,5394.35009765625,5519.35009765625,0.0,-0.007498531481609949,-0.007526786806379855,-0.00814063876119509,0.0006473773446904609
2007-11-23,5524.2998046875,5638.60009765625,5514.75,5608.60009765625,0.0,0.016170382095873848,0.01604103400966092,0.015259905499194521,0.0008967916409853862
2007-11-26,5611.2998046875,5772.5498046875,5608.9501953125,5731.7001953125,0.0,0.02194845335963458,0.021711053483725266,0.021456773798545103,0.0004813513148099411
2007-11-27,5729.25,5743.5498046875,5655.60009765625,5698.14990234375,0.0,-0.005853462642060103,-0.005870661301826319,-0.005428301724702186,-0.00042748141546269626
2007-11-28,5699.5498046875,5749.9501953125,5595.5,5617.5498046875,0.0,-0.014144959160006909,-0.014245952591277582,-0.014387101229041013,0.00024567664377769273
2007-11-29,5617.7998046875,5725.0,5612.10009765625,5634.60009765625,0.0,0.003035183231401506,0.003030586361989193,0.0029905467536831434,4.4503388255034314e-05
2007-11-30,5633.89990234375,5782.5498046875,5632.64990234375,5762.75,0.0,0.02274338908222684,0.02248861394163216,0.02287049821432704,-0.00012426708202260015
2007-12-03,5765.4501953125,5878.7998046875,5754.60009765625,5865.0,0.0,0.017743264934276137,0.017587690775788836,0.017266614282512967,0.00046856020346188886
2007-12-04,5870.2001953125,5897.25,5840.2998046875,5858.35009765625,0.0,-0.0011338281916026816,-0.001134471461070727,-0.002018687142171505,0.0008866488171355498
2007-12-05,5861.89990234375,5949.2998046875,5859.9501953125,5940.0,0.0,0.013937354542265412,0.013841122730185607,0.013323342083173992,0.0006059393222197783
2007-12-06,5941.0498046875,6027.0498046875,5919.7998046875,5954.7001953125,0.0,0.0024747803556397496,0.0024717231296717415,0.0022976394869185937,0.00017673479587542088
2007-12-07,5963.60009765625,6042.10009765625,5894.7998046875,5974.2998046875,0.0,0.0032914519173321555,0.003286046946357429,0.0017941691018911687,0.0014946012480621515
2007-12-10,5974.0,6015.2998046875,5923.35009765625,5960.60009765625,0.0,-0.002293106720305693,-0.0022957399157566825,-0.0022430368837880817,-5.018239748610708e-05
2007-12-11,5960.39990234375,6111.2001953125,5960.39990234375,6097.25,0.0,0.022925527649050315,0.022666686322568373,0.022959885225559744,-3.3586435798422075e-05
2007-12-12,6067.0498046875,6175.64990234375,6005.4501953125,6159.2998046875,0.0,0.01017668697978591,0.01012525315711822,0.015205083684779738,-0.004953084638566567
2007-12-13,6159.25,6185.39990234375,6040.39990234375,6058.10009765625,0.0,-0.01643039147960168,-0.01656686732770886,-0.0164224381773349,-8.086095673098496e-06
2007-12-14,6056.2001953125,6078.5498046875,6015.0498046875,6047.7001953125,0.0,-0.0017166937119070802,-0.0017181689191183751,-0.0014035203140376703,-0.0003136135608728274
2007-12-17,6037.9501953125,6039.9501953125,5740.60009765625,5777.0,0.0,-0.044760849012045356,-0.04579354996855697,-0.04321834180001782,-0.0016121830919391654
2007-12-18,5777.60009765625,5874.60009765625,5710.60009765625,5742.2998046875,0.0,-0.006006611617188851,-0.006024723874031448,-0.006109853982983345,0.00010387703933702614
2007-12-19,5730.25,5840.7998046875,5676.7001953125,5751.14990234375,0.0,0.0015412113538595396,0.001540024906528533,0.003647293284542559,-0.0020984283470646408
2007-12-20,5751.75,5799.5,5742.75,5766.5,0.0,0.0026690484367299927,0.002665492852230834,0.0025644369105054985,0.00010434394276620122
2007-12-24,5771.2998046875,6001.0498046875,5771.2998046875,5985.10009765625,0.0,0.03790862701053488,0.03720775294081768,0.03704543174054128,0.0008323601296280239
2007-12-26,5988.4501953125,6085.25,5988.4501953125,6070.75,0.0,0.014310521285565425,0.014209092298361115,0.013743089113761141,0.0005597396203217871
2007-12-27,6069.0,6110.85009765625,6060.2001953125,6081.5,0.0,0.001770786146686909,0.001769220153318622,0.0020596473883671114,-0.0002882675122513693
2007-12-28,6079.5498046875,6098.60009765625,6021.89990234375,6079.7001953125,0.0,-0.00029594749445038815,-0.00029599129555222127,2.4737131832367702e-05,-0.0003206766936611033
2007-12-31,6095.0,6167.75,6095.0,6138.60009765625,0.0,0.009687961651326571,0.009641334258564371,0.00715342045221493,0.002516539335162658
2008-01-01,6136.75,6165.35009765625,6109.85009765625,6144.35009765625,0.0,0.0009366956486047684,0.0009362572229952578,0.0012384564559824011,-0.00030138755201798814
2008-01-02,6144.7001953125,6197.0,6060.85009765625,6179.39990234375,0.0,0.005704395766912729,0.0056881873117958625,0.005647095208602815,5.697879363735215e-05
2008-01-03,6184.25,6230.14990234375,6126.39990234375,6178.5498046875,0.0,-0.00013756961350364083,-0.0001375790770708634,-0.0009217278267372762,0.0007848816605007929
2008-01-04,6179.10009765625,6300.0498046875,6179.10009765625,6274.2998046875,0.0,0.015497164063864366,0.01537830938434316,0.015406726793009798,8.906506965963234e-05
2008-01-07,6271.0,6289.7998046875,6193.35009765625,6279.10009765625,0.0,0.0007650722978145286,0.0007647797791931744,0.0012916755950007973,-0.0005259239740241184
2008-01-08,6282.4501953125,6357.10009765625,6221.60009765625,6287.85009765625,0.0,0.0013935117873444813,0.0013925417508606917,0.0008595217114142835,0.000533531494027379
2008-01-09,6287.5498046875,6338.2998046875,6231.25,6272.0,0.0,-0.00252074992407314,-0.0025239323633770325,-0.0024731103801209327,-4.7757653901757615e-05
2008-01-10,6278.10009765625,6347.0,6142.89990234375,6156.9501953125,0.0,-0.018343399982063135,-0.018513726267797494,-0.019297223755476257,0.0009725921008051659
2008-01-11,6166.64990234375,6224.2001953125,6112.5498046875,6200.10009765625,0.0,0.007008324084966766,0.00698387992367707,0.005424370742984231,0.0015754077462953532
